content,category
1 1/4 rooibos tea bag,2
"1 1/4 seltzer, chilled",2
1 1/4 slice cucumber,2
1 1/4 slice strawberry,2
"1 1/4 sprig fresh mint, leaves only",2
1 1/4 sprig mint,2
1 1/4 sprig rosemary,2
1 1/4 stick celery,2
1 1/4 stick cinnamon,2
1 1/4 superfine sugar,2
1 1/4 tablespoons ( grams) mascarpone or sour cream,2
"1 1/4 tablespoons (g) unsalted butter, cut into roughly -inch cubes",2
"1 1/4 tablespoons (g) unsalted butter, cut into roughly -inch cubes (optional)",2
"1 1/4 tbsp butter, softened",2
1 1/4 tbsp chicory,2
"1 1/4 tbsp dry sparkling wine, chilled",2
"1 1/4 tbsp fresh mint, minced",2
1 1/4 tbsp granulated sugar,2
1 1/4 tbsp granulated sugar (optional),2
"1 1/4 tbsp horseradish, grated",2
1 1/4 tbsp whole coriander seed,2
1 1/4 teaspoons sugar,2
1 1/4 tsp citric acid,2
1 1/4 tsp cognac,2
"1 1/4 tsp creme de violette, optional",2
1 1/4 tsp grand marnier,2
1 1/4 tsp harissa paste,2
1 1/4 tsp hot sauce,2
"1 1/4 tsp nutmeg, freshly grated",2
1 1/4 tsp sea salt,2
1 1/4 tsp simple syrup,2
1 1/4 tsp vanilla extract,2
1 1/4 tsp whole mace,2
"1 1/4 wheel orange, for garnish",2
"1 1/4 whole bone-in, skin-on pork shoulder,  to  pounds total",2
1 1/8 angostura bitters,2
"1 1/8 bottle dry rose, cold",2
"1 1/8 bottle dry rose, cold (optional)",2
1 1/8 bottle scotch,2
1 1/8 clove medium garlic,2
"1 1/8 clove medium garlic, thinly sliced",2
1 1/8 cup charred lemon juice,2
1 1/8 cup corn syrup,2
"1 1/8 cup cranberry, sliced",2
1 1/8 cup ginger beer,2
1 1/8 cup mezcal,2
1 1/8 cup pumpkin puree,2
1 1/8 cup rum,2
1 1/8 cup sugar,2
1 1/8 cup vanilla ice cream,2
1 1/8 cup water,2
1 1/8 cup yellow chartreuse,2
1 1/8 dash lemon bitters,2
"1 1/8 dash lemon juice, fresh",2
1 1/8 dash maraschino liqueur,2
1 1/8 dash orange bitters,2
1 1/8 floz vodka,2
1 1/8 fluid ounces heavy cream,2
"1 1/8 ice cube, cracked",2
"1 1/8 in medium pineapple, peeled, cored, and cubed",2
1 1/8 in orange zest,2
1 1/8 in pineapple,2
"1 1/8 jalapeno, with seeds",2
1 1/8 large ice cube,2
"1 1/8 large sweet potatoes, peeled and cubed",2
1 1/8 leaf basil,2
1 1/8 leaf basil (optional),2
"1 1/8 leaf mint, fresh",2
1 1/8 lemon,2
"1 1/8 medium cloves garlic, minced",2
"1 1/8 medium cloves garlic, minced (optional)",2
"1 1/8 orange, zested",2
1 1/8 ounces (g) finely grated Gruyère or Comté cheese,2
1 1/8 oz aged rum,2
1 1/8 oz amaro,2
1 1/8 oz aperol,2
1 1/8 oz benedictine,2
1 1/8 oz blanco tequila,2
1 1/8 oz calvados,2
"1 1/8 oz cava, chilled",2
1 1/8 oz celery juice,2
1 1/8 oz champagne,2
1 1/8 oz cherry heering,2
1 1/8 oz cherry heering (optional),2
"1 1/8 oz coconut water, chilled",2
1 1/8 oz cognac,2
1 1/8 oz cold water,2
1 1/8 oz cynar,2
1 1/8 oz dry gin,2
1 1/8 oz fernet branca,2
1 1/8 oz freshly squeezed lemon juice,2
1 1/8 oz freshly squeezed lime juice,2
1 1/8 oz freshly squeezed orange juice,2
1 1/8 oz ginger liqueur,2
1 1/8 oz gran classico,2
1 1/8 oz granulated sugar,2
1 1/8 oz green chartreuse,2
1 1/8 oz honey,2
1 1/8 oz ice cube,2
1 1/8 oz ice cube (optional),2
1 1/8 oz lemon juice,2
"1 1/8 oz lemon juice, freshly squeezed",2
1 1/8 oz lemon simple syrup,2
1 1/8 oz lillet blanc,2
1 1/8 oz mezcal,2
1 1/8 oz molasses,2
1 1/8 oz pimms,2
"1 1/8 oz pineapple, diced",2
1 1/8 oz pisco,2
1 1/8 oz pomegranate molasses,2
1 1/8 oz port,2
1 1/8 oz pureed concord grape,2
1 1/8 oz reposado tequila,2
1 1/8 oz rum,2
1 1/8 oz rye whiskey,2
1 1/8 oz scotch,2
"1 1/8 oz seltzer, chilled",2
"1 1/8 oz seltzer, chilled (optional)",2
1 1/8 oz simple syrup,2
1 1/8 oz single-malt scotch,2
1 1/8 oz spiced rum,2
1 1/8 oz water,2
1 1/8 oz whiskey,2
1 1/8 oz yellow chartreuse,2
"1 1/8 pomegranate seed, fresh",2
"1 1/8 pt strawberry, diced",2
1 1/8 sprig marjoram,2
1 1/8 strip lemon zest,2
"1 1/8 tablespoon fresh thyme leaves, roughly chopped",2
1 1/8 tablespoons (g) unsalted butter,2
1 1/8 Taste simple syrup,2
"1 1/8 tbsp butter, softened",2
"1 1/8 tbsp fresh mint, minced",2
"1 1/8 tbsp ginger, minced",2
1 1/8 tbsp sugar,2
1 1/8 tbsp water,2
1 1/8 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,2
1 1/8 tsp cherry heering,2
1 1/8 tsp cinchona bark,2
1 1/8 tsp granulated sugar,2
1 1/8 tsp ground pink peppercorn,2
1 1/8 tsp sea salt,2
1 1/8 tsp soy sauce,2
1 1/8 tsp sugar,2
1 1/8 tsp triple sec,2
1 1/8 tsp vanilla extract,2
1 1/8 tsp worcestershire sauce,2
1 1/8 vanilla bean,2
1 1/8 vanilla bean (optional),2
1 1/8 wedge pineapple,2
1 1/8 wheel lime,2
"1 12-oz grapefruit hefeweizen, chilled",2
"1 14-ounce can chickpeas rinsed, drained",2
1 15-ounce can crushed tomatoes,2
1 16 oz can of chickpeas or garbanzo beans,2
1 2 inch stick of cinnamon,2
"1 2-inch piece ginger, peeled, finely grated",2
1 2/3 apple,2
1 2/3 batch ginger-cardamom simple syrup,2
1 2/3 brandied cherry,2
1 2/3 clove medium garlic,2
"1 2/3 cloves  garlic, crushed",2
1 2/3 cup cognac,2
1 2/3 cup filtered water,2
1 2/3 cup ginger beer,2
1 2/3 cup kosher salt,2
"1 2/3 cup lime juice, freshly squeezed",2
1 2/3 cup mezcal,2
1 2/3 cup rum,2
"1 2/3 cup seltzer, chilled",2
1 2/3 cup sugar,2
"1 2/3 cup whole milk, warmed to about ° F by microwaving for  seconds",2
1 2/3 cups all-purpose flour,2
1 2/3 dash angostura bitters,2
1 2/3 dash orange bitters,2
1 2/3 dash rose water,2
1 2/3 ice cube,2
1 2/3 in orange zest,2
1 2/3 in pineapple,2
"1 2/3 kiwi, peeled",2
1 2/3 leaf lime,2
"1 2/3 leaf mint, fresh",2
1 2/3 leaf sage,2
"1 2/3 leek, white and light green parts only, cleaned and sliced into thin rings",2
"1 2/3 lime wedge, plus  lime wheels for garnish",2
"1 2/3 lime wedge, plus  lime wheels for garnish (optional)",2
"1 2/3 medium grapefruit, zested",2
1 2/3 olive,2
1 2/3 oz agave nectar,2
1 2/3 oz amaro,2
1 2/3 oz amaro nonino,2
1 2/3 oz aperol,2
1 2/3 oz apricot liqueur,2
1 2/3 oz averna,2
1 2/3 oz basil simple syrup,2
1 2/3 oz blanco tequila,2
1 2/3 oz bourbon,2
1 2/3 oz carrot juice,2
1 2/3 oz celery juice,2
1 2/3 oz club soda,2
1 2/3 oz cocchi americano,2
1 2/3 oz cointreau,2
1 2/3 oz curacao,2
1 2/3 oz cynar,2
1 2/3 oz dark rum,2
1 2/3 oz dry gin,2
1 2/3 oz dry vermouth,2
1 2/3 oz freshly squeezed lemon juice,2
1 2/3 oz genever,2
"1 2/3 oz ginger ale, chilled",2
1 2/3 oz ginger juice,2
1 2/3 oz ginger liqueur,2
"1 2/3 oz grapefruit juice, freshly squeezed",2
1 2/3 oz green chartreuse,2
1 2/3 oz hard cider,2
1 2/3 oz honey simple syrup,2
1 2/3 oz honey syrup,2
"1 2/3 oz kale juice, fresh",2
1 2/3 oz lime juice,2
"1 2/3 oz lime juice, fresh",2
"1 2/3 oz lime juice, fresh (optional)",2
"1 2/3 oz lime juice, freshly squeezed",2
1 2/3 oz mezcal,2
1 2/3 oz mild fernet,2
1 2/3 oz montenegro amaro,2
"1 2/3 oz orange juice, fresh squeezed",2
1 2/3 oz pear brandy,2
1 2/3 oz peated scotch,2
1 2/3 oz pimms,2
1 2/3 oz pineapple simple syrup,2
1 2/3 oz prepared coffee-flavored simple syrup,2
1 2/3 oz punt e mes,2
1 2/3 oz rose champagne,2
1 2/3 oz ruby port,2
1 2/3 oz rum,2
1 2/3 oz scotch,2
1 2/3 oz scotch (optional),2
"1 2/3 oz seltzer, chilled",2
1 2/3 oz suze,2
1 2/3 oz sweet vermouth,2
1 2/3 oz unsweetened pomegranate juice,2
1 2/3 oz water,2
"1 2/3 pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",2
1 2/3 qt ice cube,2
1 2/3 salt,2
1 2/3 slice lemon zest,2
1 2/3 slice orange juice,2
1 2/3 slice peach,2
1 2/3 slice peach (optional),2
1 2/3 slice small orange,2
1 2/3 sprig rosemary,2
1 2/3 strip lemon zest,2
1 2/3 superfine sugar,2
1 2/3 tablespoons ( grams) mascarpone or sour cream,2
1 2/3 tablespoons (g) unsalted butter,2
1 2/3 Taste simple syrup,2
1 2/3 tbsp extra virgin olive oil,2
1 2/3 tbsp lime zest,2
1 2/3 tbsp water,2
"1 2/3 tsp cardamom pod, lightly crushed",2
1 2/3 tsp cognac,2
1 2/3 tsp orange blossom water,2
"1 2/3 tsp pomegranate seed, ground",2
1 2/3 tsp sherry vinegar,2
1 2/3 tsp soy sauce,2
1 2/3 tsp sugar,2
1 2/3 tsp triple sec,2
1 2/3 tsp worcestershire sauce,2
1 2/3 wedge lime,2
1 2/3 whole cinnamon stick,2
1 2/3 whole clove,2
1 3/4 apple,2
1 3/4 barspoon brown sugar,2
1 3/4 cup (g) water or milk (see note),2
"1 3/4 cup apple cider, fresh",2
1 3/4 cup bourbon,2
1 3/4 cup charred lemon juice,2
1 3/4 cup coconut milk,2
1 3/4 cup coffee bean,2
1 3/4 cup cranberry,2
1 3/4 cup cranberry (optional),2
"1 3/4 cup cranberry, sliced",2
1 3/4 cup granulated sugar,2
1 3/4 cup kosher salt,2
"1 3/4 cup kosher salt, divided",2
"1 3/4 cup lime juice, freshly squeezed",2
1 3/4 cup raw turbinado sugar,2
1 3/4 cup sugar,2
1 3/4 cup unsweetened cocoa powder,2
1 3/4 cup water,2
"1 3/4 cup water, boiling",2
1 3/4 cup whole milk,2
"1 3/4 cups cooked, drained chickpeas (from a 15-ounce can) or a little shy of 2/3 cup dried chickpeas (for same yield)",2
1 3/4 dash angostura bitters,2
1 3/4 dash chocolate bitters,2
1 3/4 dash maraschino liqueur,2
1 3/4 dash maraschino liqueur (optional),2
1 3/4 earl grey tea bag,2
1 3/4 grapefruit twist,2
"1 3/4 ice cube, cracked",2
"1 3/4 in medium pineapple, peeled, cored, and cubed",2
"1 3/4 jalapeno, sliced",2
"1 3/4 jalapeno, with seeds",2
1 3/4 large ice cube,2
1 3/4 leaf fresh mint,2
1 3/4 leaf mint,2
"1 3/4 leaf mint, fresh",2
"1 3/4 leek, white and light green parts only, cleaned and sliced into thin rings",2
1 3/4 maraschino cherry,2
"1 3/4 medium beet, grated",2
"1 3/4 medium cloves garlic, minced",2
1 3/4 medium lime,2
1 3/4 olive,2
"1 3/4 orange, quartered",2
1 3/4 ounces (ml) high-quality blanco tequila (see note),2
1 3/4 oz aged rum,2
1 3/4 oz allspice bitters,2
1 3/4 oz amaro,2
1 3/4 oz apple cider,2
1 3/4 oz apricot liqueur,2
1 3/4 oz aquavit,2
1 3/4 oz blanco tequila,2
1 3/4 oz blood orange juice,2
"1 3/4 oz blood orange juice, fresh",2
1 3/4 oz caperitif,2
"1 3/4 oz celery juice, fresh",2
1 3/4 oz cherry heering,2
1 3/4 oz cognac,2
1 3/4 oz cointreau,2
1 3/4 oz dark rum,2
1 3/4 oz demerara simple syrup,2
1 3/4 oz dry gin,2
1 3/4 oz fino sherry,2
1 3/4 oz freshly squeezed lemon juice,2
1 3/4 oz freshly squeezed lime juice,2
1 3/4 oz genever,2
1 3/4 oz gin,2
"1 3/4 oz ginger juice, fresh",2
1 3/4 oz ginger liqueur,2
1 3/4 oz grade B maple syrup,2
1 3/4 oz grand marnier,2
1 3/4 oz granny smith apple cider,2
"1 3/4 oz grapefruit juice, freshly squeezed",2
1 3/4 oz grapefruit liqueur,2
1 3/4 oz honey simple syrup,2
1 3/4 oz ice cube,2
"1 3/4 oz lemon juice, fresh",2
"1 3/4 oz lemon juice, freshly squeezed",2
"1 3/4 oz lemon juice, freshly squeezed (optional)",2
1 3/4 oz lime juice,2
"1 3/4 oz lime juice, fresh",2
"1 3/4 oz lime juice, freshly squeezed",2
1 3/4 oz maraschino liqueur,2
1 3/4 oz molasses,2
"1 3/4 oz orange juice, freshly squeezed",2
1 3/4 oz passionfruit simple syrup,2
1 3/4 oz prepared coffee-flavored simple syrup,2
1 3/4 oz prepared spiced simple syrup,2
1 3/4 oz prosecco,2
1 3/4 oz pureed concord grape,2
1 3/4 oz pureed concord grape (optional),2
1 3/4 oz ruby port,2
1 3/4 oz seltzer,2
1 3/4 oz spiced rum,2
1 3/4 oz tonic water,2
1 3/4 oz unsweetened pomegranate juice,2
1 3/4 oz vanilla simple syrup,2
1 3/4 oz vermouth,2
1 3/4 oz vodka,2
"1 3/4 oz water, hot",2
1 3/4 oz whiskey,2
1 3/4 pt whole milk,2
"1 3/4 qt strawberry, split",2
1 3/4 rooibos tea bag,2
1 3/4 slice cucumber,2
1 3/4 slice lemon zest,2
1 3/4 slice small orange,2
"1 3/4 sprig fresh mint, leaves only",2
"1 3/4 sprig mint, fresh",2
1 3/4 sprig rosemary,2
1 3/4 sprig thyme,2
1 3/4 stick cinnamon,2
"1 3/4 tbsp butter, room temperature",2
"1 3/4 tbsp butter, softened",2
"1 3/4 tbsp butter, softened (optional)",2
1 3/4 tbsp chicory,2
1 3/4 tbsp dark brown sugar,2
1 3/4 tbsp whole anise,2
1 3/4 tsp absinthe,2
1 3/4 tsp ground cinnamon,2
"1 3/4 tsp nutmeg, freshly grated",2
"1 3/4 tsp nutmeg, freshly grated (optional)",2
1 3/4 tsp worcestershire sauce,2
1 3/4 twist orange,2
1 3/4 wedge lime,2
1 3/4 wedge pineapple,2
1 3/4 wheel lime,2
1 3/4 wheel orange,2
"1 3/4 whole bone-in, skin-on pork shoulder,  to  pounds total",2
1 3/4 whole cinnamon stick,2
1 4 lb. whole chicken,2
1 4-lb. whole chicken or 4 chicken legs (thigh and drumstick; about 3 lb.),2
"1 4"" piece daikon (Japanese radish), peeled, sliced ⅛"" thick",2
1 8-ounce bottle clam juice,2
1 absinthe,2
"1 ancho chile crushed, stemmed, and seeded",2
1 angostura bitters,2
"1 baguette, cut in half then halved lengthwise",2
"1 baguette, sliced and toasted",2
1 barspoon brown sugar,2
1 barspoon maraschino liqueur,2
1 batch Cilantro Hemp Pesto (double if you love sauce),2
1 batch Cilantro Lime Brown Rice,2
1 batch easy whole wheat pizza dough or 1 pound store-bought pizza dough,2
1 batch ginger-cardamom simple syrup,2
1 batch Quick-Pickled Onions,2
"1 batch Super Simple Marinara Sauce, or 2 cups (16 ounces) store-bought marinara",2
1 bay leaf,2
"1 bergamot , zested and juiced (available from ocado.com)",2
1 black or green cardamom pod,2
"1 black peppercorn, cracked",2
1 blade mace,2
1 bottle bourbon,2
"1 bottle cava, chilled",2
1 bottle cheap red wine,2
"1 bottle cognac, 750 ml",2
1 bottle dry red wine,2
"1 bottle dry rose, cold",2
"1 bottle dry sparkling wine, chilled",2
1 bottle dry white wine,2
1 bottle duvel beer,2
"1 bottle of chilled, sparkling wine (Cava is a good choice)",2
1 bottle prosecco,2
1 bottle scotch,2
1 bottle seltzer,2
1 bottle vodka,2
1 brandied cherry,2
1 brut sparkling wine,2
"1 bunch (about 3 ounces) flat spinach leaves, trimmed, rinsed, and roughly chopped",2
1 bunch finely minced chives,2
"1 bunch fresh cilantro, chopped",2
"1 bunch green onions, chopped",2
"1 bunch green onions, diced",2
1 bundle scallions,2
"1 bundle scallions, to be used here and to finish",2
"1 can (1 ½ cups) pinto beans, rinsed and drained",2
"1 can (15 ounces) black beans, rinsed and drained (or 1 ½ cups cooked black beans)",2
1 can (15 ounces) crushed tomatoes*,2
1 can grapefruit soda,2
1 can maraschino cherry,2
1 candied ginger,2
"1 center-cut beef tenderloin, timmed of silverskin and fat, about 2 pounds (see note)",2
1 chamomile tea bag,2
1 cherry,2
"1 chipotle chile pepper in adobo sauce, chopped",2
1 cinnamon stick,2
1 cinnamon stick or pinch ground cinnamon,2
"1 cinnamon stick, broken into three or four pieces",2
1 clove cinnamon stick,2
1 clove medium garlic,2
1 club soda,2
"1 club soda, chilled",2
1 cocktail cherry,2
"1 courgette , coarsely grated",2
"1 crown broccoli, cut into bite-sized pieces",2
1 crumb-crust recipe made with finely ground graham crackers,2
1 crushed ice,2
1 cup (100 grams) fresh cranberries,2
"1 cup (2 sticks) salted butter, room temperature",2
1 cup (200 grams) plus 1/3 cup (65 grams) granulated sugar,2
1 cup (235 grams) water,2
1 cup (235g) water or milk (see note),2
1 cup (240ml) homemade or store-bought low sodium chicken stock (see note),2
1 cup (240ml) water,2
1 cup (240ml) white wine (optional; can be replaced with additional broth),2
"1 cup (270 g) sourdough starter discard from a starter fed within the previous 24 hours, room temperature",2
"1 cup (about 4 ounces) cavatelli, ditalini, elbow or small shell pasta of choice",2
1 cup (packed) cilantro leaves with tender stems,2
1 cup all-purpose flour (4 1/2 ounces; 130g),2
1 cup almond,2
1 cup apple cider,2
1 cup apple cider vinegar,2
1 cup apple juice,2
1 cup blanched almond,2
1 cup boiling water,2
1 cup bourbon,2
1 cup brandy,2
"1 cup brown or green lentils, washed and picked over",2
1 cup brown sugar,2
"1 cup butter, softened",2
1 cup buttermilk,2
"1 cup buttermilk, at room temperature",2
1 cup campari,2
1 cup charred lemon juice,2
1 cup cheddar cheese for topping,2
1 cup cheddar cheese shredded,2
"1 cup cherry, pitted",2
1 cup chicken broth,2
1 cup coarsely chopped fresh basil,2
1 cup coconut milk,2
1 cup cognac,2
1 cup corn syrup,2
1 cup cranberry sauce,2
"1 cup cranberry, fresh",2
1 cup crumbled queso fresco or feta,2
1 cup crushed ice,2
1 cup crushed ice cube,2
1 cup dark rum,2
1 cup demerara sugar,2
1 cup diced onion,2
"1 cup dry lentils, rinsed",2
1 cup dry white wine,2
"1 cup fresh basil leaves, thinly sliced",2
1 cup fresh cilantro leaves (1 ounce; 28g),2
1 cup fresh lime juice,2
1 cup fresh mint,2
"1 cup fresh pineapple, cut into chunks",2
"1 cup fresh strawberry, sliced",2
1 cup freshly picked cilantro leaves and small stems,2
1 cup frozen orange juice concentrate,2
"1 cup ginger, peeled and roughly chopped",2
1 cup granulated sugar,2
"1 cup grapefruit juice, freshly squeezed",2
1 cup heavy cream,2
"1 cup heavy cream, well chilled",2
1 cup hot water,2
1 cup ice cube,2
1 cup jaggery sugar (see note),2
1 cup Japanese shoyu (soy sauce),2
1 cup jasmine rice,2
1 cup lemon juice,2
"1 cup lemon juice, fresh",2
"1 cup lemon juice, freshly squeezed",2
1 cup lillet rose,2
1 cup mayonnaise,2
1 cup mezcal,2
1 cup milk,2
1 cup mint,2
1 cup mirin,2
1 cup ﬁnely chopped Mexican chocolate,2
1 cup of vegetable oil,2
1 cup or more of water (will likely only need if beans weren’t pre-soaked),2
"1 cup orange juice, fresh",2
"1 cup peach, frozen",2
"1 cup pink grapefruit, fresh",2
1 cup pizza sauce or marinara,2
"1 cup pizza sauce or one 32-ounce can whole tomatoes, drained and crushed by hand",2
"1 cup plus 1 tablespoon (250ml) canola or vegetable oil, divided",2
1 cup plus 2 tablespoons (9 oz / 255 g) lukewarm water (about 95°F or 35°C),2
1 cup raspberry,2
1 cup red lentils,2
1 cup rice,2
1 cup rum,2
1 cup sake,2
1 cup sake (about 8 ounces; 225g),2
1 cup semolina flour,2
1 cup short grain rice,2
1 cup simple syrup,2
1 cup sliced mushrooms,2
1 cup sour cream,2
1 cup soy sauce,2
1 cup sparkling wine,2
1 cup sugar,2
1 cup tahini,2
"1 cup tangerine juice, fresh squeezed",2
1 cup tequila,2
"1 cup uncooked brown basmati rice, for serving (rice is optional, I like to cook extra to have on hand for other meals)",2
"1 cup walnuts, toasted and coarsely chopped",2
1 cup water,2
1 cup water (about 8 ounces; 225g),2
1 cup water or 250 ml water,2
"1 cup water, boiling",2
"1 cup water, heated to 110 degrees (very warm, almost too hot for comfort)",2
1 cup white sugar,2
"1 cup whole milk, warmed to about 100° F by microwaving for 60 seconds",2
1 cup yellow chartreuse,2
1 cup water,2
1 dash absinthe,2
1 dash angostura bitters,2
1 dash bitters,2
1 dash brandy,2
1 dash cayenne pepper,2
1 dash celery bitters,2
1 dash cointreau,2
1 dash cointreau (optional),2
1 dash fino sherry,2
1 dash grand marnier,2
1 dash grand marnier (optional),2
1 dash green chartreuse,2
1 dash grenadine,2
1 dash lemon bitters,2
1 dash lemon juice,2
"1 dash lemon juice, fresh",2
1 dash orange,2
1 dash orange bitters,2
1 dash peychauds bitters,2
1 dash pomegranate,2
1 dash pomegranate bitters,2
1 dash rose water,2
1 dash simple syrup,2
1 dash vanilla extract,2
"1 deep dish pie shell 9"", frozen or homemade",2
"1 dozen scallions, white parts only (reserve greens and light green parts for garnishing finished soup)",2
1 egg,2
1 egg white,2
"1 egg white, fresh",2
"1 egg, beaten",2
"1 entire Grade A or Grade B fresh foie gras, about 500 to 750 grams",2
1 envelope (2 ¼ teaspoons) rapid-rise or instant yeast,2
1 envelope instant dry yeast,2
"1 four-inch-square piece kombu (sea kelp, see note)",2
1 fresh pear,2
"1 full rack St. Louis-style spareribs, cut into individual ribs (about 3 pounds total)",2
1 Galia melon,2
1 ginger ale,2
1 grapefruit twist,2
"1 green apple , cored and finely sliced",2
1 green olive,2
1 head cauliflower,2
"1 head iceberg lettuce, shredded",2
1 head of garlic,2
1 head of garlic (optional),2
"1 head of roasted peeled garlic (I use the toaster oven.  Separate the cloves first but don’t peel, then roast until soft and the cloves pop right out of the skin)",2
1 ice cube,2
"1 ice cube, cracked",2
"1 in ginger, peeled",2
"1 in medium pineapple, peeled, cored, and cubed",2
1 in orange,2
1 in orange zest,2
1 in orange zest (optional),2
1 inch ginger,2
"1 inch ginger – julienned, reserve a few for garnish",2
"1 inch peeled fresh ginger, thinly sliced",2
1 inch-chunk ginger,2
"1 jalapeño pepper, seeded and stemmed, finely chopped",2
"1 jalapeno pepper, seeded and finely chopped  (optional)",2
"1 jalapeno, sliced",2
"1 jalapeno, with seeds",2
"1 large bunch (8 ounces) kale*, preferably Tuscan/lacinato but any variety works",2
"1 large bunch cilantro, washed and roughly chopped (about 1 1/2 cups)",2
"1 large can (28 ounces) fire-roasted crushed tomatoes or whole peeled tomatoes, with their juices",2
"1 large cucumber , peeled and chopped into small chunks",2
1 large egg,2
1 large egg plus 1 yolk,2
1 large egg white,2
1 large egg yolk,2
"1 large egg, lightly beaten with a fork",2
"1 large green chile pepper, seeded and diced",2
"1 large hand ginger (about 6 inches long), split in half lengthwise",2
"1 large head of radicchio, leaves  separated, torn if large",2
1 large ice cube,2
1 large lime,2
1 large mint,2
"1 large onion, chopped",2
"1 large onion, finely chopped (about 1 1/2 cups)",2
"1 large onion, skin on, roughly chopped",2
"1 large onion, sliced into 1/4-inch slices (about 1 1/2 cups)",2
"1 large onion, thinly sliced",2
1 large orange twist,2
"1 large orange, or 2 small ones, juiced",2
"1 large peach, thinly sliced",2
1 large pita bread,2
"1 large poblano chile, seeded and roughly chopped (about 1 cup)",2
"1 large red bell pepper, cored, seeded, and roughly chopped (about 1 1/2 cups)",2
"1 large red onion, chopped",2
"1 large section lotus root, about 5 to 7 ounces",2
"1 large shallot, chopped",2
"1 large sheet nori, cut into thin strips",2
"1 large tomatillo, quartered",2
"1 large tomato, cut into wedges",2
"1 large tomato, quartered",2
"1 large yellow onion, chopped",2
"1 large yellow onion, diced fine (about 1 1/2 cups)",2
"1 large yellow onion, finely chopped",2
"1 large yellow onion, finely diced",2
"1 large yellow onion, thinly sliced",2
"1 lb cucumber, peeled",2
"1 lb ginger, fresh",2
1 lb ice cube,2
"1 lb strawberry, trimmed",2
1 lb. (455 g) challah or brioche,2
1 leaf basil,2
1 leaf lime,2
"1 leaf mint, fresh",2
"1 leek, white and light green parts only, cleaned and sliced into thin rings",2
1 lemon,2
"1 lemon , juiced",2
"1 lemon , sliced",2
1 lemon twist,2
"1 lemon twist, optional",2
"1 lemon zest, freshly grated",2
"1 lemon, cut into rounds",2
"1 lemon, thinly sliced",2
"1 lemon, zested and juiced",2
1 length rhubarb,2
1 light beer,2
1 lime,2
"1 lime wedge, plus 2 lime wheels for garnish",2
1 lime zest,2
1 loaf  French bread,2
1 loaf French Bread cut into 1-inch slices,2
1 maraschino cherry,2
"1 maraschino cherry, optional",2
"1 medium (8-ounce; 225g) yellow onion, peeled, quartered, and root end trimmed",2
"1 medium beet, grated",2
1 medium butternut squash (4 cups chopped*),2
"1 medium carrot, peeled and minced",2
1 medium clove garlic,2
"1 medium clove garlic, minced (about 1 teaspoon)",2
"1 medium cucumber, sliced into 1/4"" rounds",2
"1 medium grapefruit, zested",2
"1 medium jalapeno pepper, diced, or more to taste",2
"1 medium lemon, zested",2
"1 medium lime, juiced",2
"1 medium onion, chopped finely",2
"1 medium onion, finely chopped",2
"1 medium onion, finely chopped (about 1 cup)",2
"1 medium onion, finely diced",2
"1 medium onion, grated on the large holes of a box grater",2
"1 medium onion, thinly sliced  (about 1 cup)",2
1 medium orange,2
"1 medium pineapple, cut into 1"" cubes",2
"1 medium serrano or jalapeño pepper*, minced (remove ribs and seeds to tame the spice level)",2
"1 medium white or yellow onion,  finely chopped",2
"1 medium yellow onion, chopped",2
"1 medium yellow onion, chopped (optional)",2
"1 medium yellow onion, finely chopped (about 1 cup), divided",2
"1 medium yellow onion, peeled and split in half",2
"1 medium-to-large yellow onion, chopped",2
"1 medium-to-large yellow onion, finely chopped",2
1 mint,2
1 ml blanco tequila,2
"1 ml sparkling wine, chilled",2
1 nutmeg,2
"1 nutmeg, freshly grated",2
1 olive,2
"1 onion, roughly chopped",2
"1 onion, thinly sliced",2
"1 or 2 green chili – slit, reserve a few for garnish",2
1 orange,2
"1 orange , juiced",2
1 orange twist,2
"1 orange twist, optional",2
"1 orange, quartered",2
"1 orange, zested",2
1 ounce (3 tablespoons; 30g) cornstarch,2
1 ounce chopped unsweetened chocolate,2
"1 ounce unsalted butter (2 tablespoons; 30g), cut into 1/2-inch cubes",2
1 oz amaro,2
1 oz amaro sfumato,2
1 oz angostura bitters,2
1 oz aperol,2
1 oz apple brandy,2
"1 oz apple cider, chilled",2
"1 oz apple cider, fresh",2
1 oz apple simple syrup,2
1 oz applejack,2
1 oz apricot,2
1 oz aquavit,2
1 oz averna,2
1 oz barolo chinato,2
1 oz basil simple syrup,2
1 oz beet juice,2
1 oz benedictine,2
1 oz bourbon,2
1 oz brandy,2
1 oz brut sparkling wine,2
1 oz calvados,2
1 oz campari,2
1 oz caperitif,2
1 oz cardamom pod,2
1 oz carrot juice,2
1 oz chicory-infused rye whiskey,2
1 oz clamato,2
1 oz club soda,2
"1 oz club soda, chilled",2
"1 oz club soda, cold",2
1 oz cocchi americano,2
1 oz cognac,2
1 oz cointreau,2
1 oz cranberry simple syrup,2
1 oz creme de cacao,2
1 oz cynar,2
1 oz dark rum,2
1 oz drinking vinegar,2
1 oz dry gin,2
1 oz dry sparkling wine,2
1 oz dry vermouth,2
