string,pred_old,preds
1/3 cup ( grams) all-purpose flour,flour juice,all purpose flour
1/3 cup ( grams) dark brown sugar,dark brown sugar,dark brown sugar
1/3 cup ( grams) fresh cranberries,cranberries,fresh cranberries
1/3 cup ( grams) molasses or treacle [updated weight],molasses,molasses 2 o
1/3 cup ( grams) plus  cup ( grams) granulated sugar,granulated sugar,granulated sugar
1/3 cup ( grams) water,water,water
1/3 cup (74g) light brown sugar,light brown sugar,light brown sugar
1/3 cup (80ml) rice vinegar,wine vinegar,rice vinegar
1/3 cup (g) water or milk (see note),water,milk milk milk
1/3 cup aged rum,aged rum,aged rum
1/3 cup all-purpose flour,almond juice,all purpose flour
1/3 cup almond,almond,almond
1/3 cup aperol,aperol,aperol
1/3 cup apple brandy,apple brandy,apple brandy
1/3 cup apple cider,apple cider,apple cider
1/3 cup apple cider vinegar,apple cider vinegar,apple cider vinegar
"1/3 cup apple cider, fresh",apple cider,apple juice
1/3 cup apple schnapps,apple schnapps,apple schnapps
1/3 cup applejack,applejack,applejack
"1/3 cup beef broth, chilled",beef broth,beef sirloin
1/3 cup blanched almond,blanched almond,blanched almond
1/3 cup bourbon,bourbon,bourbon
1/3 cup brandy,brandy,brandy
1/3 cup bread crumbs,bread crumbs,bread crumbs
"1/3 cup brewed black tea, chilled",brewed black tea,brewed black tea
1/3 cup brown sugar,brown sugar,brown sugar
1/3 cup brown sugar (optional),brown sugar,brown sugar
1/3 cup buttermilk,buttermilk,buttermilk
1/3 cup campari,campari,campari
"1/3 cup cardamom pod, lightly crushed",cardamom,cardamom pods
1/3 cup celery salt,celery salt,celery salt
1/3 cup charred lemon juice,lemon juice,lemon juice juice
"1/3 cup cherry, pitted",cherry,seltzer
1/3 cup chicken stock,chicken stock,chicken stock
1/3 cup chopped fresh basil leaves,basil,fresh basil basil
1/3 cup chopped pineapple,pineapple,pineapple pineapple
"1/3 cup cilantro, fresh",cilantro,seltzer
1/3 cup cocoa powder,cocoa powder,cocoa powder
1/3 cup coconut milk,coconut milk,coconut milk
1/3 cup coffee bean,coffee bean,coffee bean
1/3 cup cognac,cognac,cognac
1/3 cup cold water,water,cold
1/3 cup concord grape,concord grape,concord grape
1/3 cup corn syrup,corn syrup,corn syrup
1/3 cup crème fraîche or sour cream,ground grape,sour sour cream
1/3 cup cranberry,cranberry,cranberry
1/3 cup cranberry sauce,cranberry sauce,cranberry sauce
"1/3 cup cranberry, fresh",cranberry,seltzer
"1/3 cup cranberry, sliced",cranberry,seltzer
1/3 cup creme de cassis,creme de cassis,creme de cassis
1/3 cup crushed ice,crushed ice,crushed ice
1/3 cup crushed ice cube,ice cube,crushed ice cube
1/3 cup dark rum,dark rum,dark rum
1/3 cup demerara sugar,demerara sugar,demerara sugar
1/3 cup filtered water,water,water
1/3 cup finely chopped yellow onion,yellow onion,yellow yellow onion onion
1/3 cup fresh mint,mint,mint
"1/3 cup fresh pineapple, cut into chunks",pineapple,fresh pasta
"1/3 cup fresh strawberry, sliced",strawberry,fresh pasta
1/3 cup freshly squeezed grapefruit juice,grapefruit juice,grapefruit grapefruit juice
1/3 cup freshly squeezed lemon juice,lemon juice,lemon juice
1/3 cup gin,gin,gin
1/3 cup ginger beer,ginger beer,ginger beer
"1/3 cup ginger, grated",ginger,seltzer
"1/3 cup ginger, peeled and roughly chopped",ginger,seltzer
1/3 cup granulated sugar,granulated sugar,granulated sugar
1/3 cup grape,grape,grape
"1/3 cup grapefruit juice, freshly squeezed",grapefruit juice,grapefruit juice
1/3 cup half and half,half and half,half and half
1/3 cup hazelnut,hazelnut,hazelnut
1/3 cup heavy cream,heavy cream,heavy cream
"1/3 cup heavy cream, well chilled",heavy cream,heavy cream
1/3 cup hoisin sauce,hoisin sauce,hoisin sauce
1/3 cup honey,honey,honey
1/3 cup hulled pumpkin seeds (pepitas),kale seeds,pumpkin seeds seeds
1/3 cup ice cube,ice cube,ice cube
1/3 cup ketchup,cola,ketchup
1/3 cup kosher salt,kosher salt,kosher salt
"1/3 cup kosher salt, divided",kosher salt,kosher salt
1/3 cup lemon juice,lemon juice,lemon juice
"1/3 cup lemon juice, fresh",lemon juice,lemon juice
"1/3 cup lemon juice, freshly squeezed",lemon juice,lemon juice
1/3 cup lillet rose,lillet rose,lillet rose
1/3 cup lime juice,lime juice,lime juice
"1/3 cup lime juice, freshly squeezed",lime juice,lime juice
"1/3 cup loosely packed fresh parsley, chopped",fritos,fresh pasta
1/3 cup low-sodium homemade or store-bought chicken stock,almond salt,low sodium chicken ice
1/3 cup maple syrup,maple syrup,maple syrup
1/3 cup mezcal,mezcal,mezcal
1/3 cup milk,milk,milk
1/3 cup mint,mint,mint
"1/3 cup mixed berries, frozen",mixed berries,mixed berries
1/3 cup oil,campari oil,olive
"1/3 cup orange juice, fresh",orange juice,orange juice
"1/3 cup orange juice, freshly squeezed",orange juice,orange juice
"1/3 cup peach, frozen",peach,seltzer
1/3 cup peanut oil,grapeseed rabe,peanut oil
1/3 cup pear liqueur,pear liqueur,pear liqueur
"1/3 cup pineapple, cut into chunks",pineapple,seltzer
"1/3 cup pink grapefruit, fresh",pink grapefruit,pink grapefruit
"1/3 cup plus 6 teaspoons granulated sugar, divided",granulated sugar,granulated sugar
1/3 cup prepared horseradish,hard sugar,horseradish horseradish
1/3 cup pumpkin puree,pumpkin puree,pumpkin puree
1/3 cup punt e mes,punt e mes,punt e mes
1/3 cup raisins,raisins,raisins
1/3 cup raspberry,raspberry jam,raspberry
1/3 cup raw turbinado sugar,turbinado sugar,turbinado turbinado sugar
1/3 cup red wine,red wine,red wine
1/3 cup rice,rice,rice
1/3 cup rosemary gin simple syrup,poached simple simple,ginger gin gin simple
1/3 cup rum,rum,rum
1/3 cup scotch,scotch,scotch
"1/3 cup seedless watermelon, cubed",watermelon,seedless gochujang
1/3 cup seltzer,seltzer,seltzer
"1/3 cup seltzer, chilled",seltzer,seltzer
"1/3 cup semisweet chocolate chip, chopped",chocolate chip,semisweet chocolate bitters
"1/3 cup semisweet chocolate chip, chopped (optional)",chocolate chip,semisweet chocolate bitters
1/3 cup simple syrup,simple syrup syrup,simple syrup
1/3 cup small ice cube,ice cube,small ice cube
1/3 cup sparkling wine,sparkling wine,sparkling wine
1/3 cup sugar,sugar,sugar sugar
"1/3 cup tangerine juice, fresh squeezed",tangerine juice,tangerine juice
"1/3 cup tangerine juice, fresh squeezed (optional)",tangerine juice,tangerine juice
1/3 cup tequila,tequila,tequila
"1/3 cup tonic water, chilled",tonic water,tonic water
1/3 cup triple sec,triple sec,triple sec
1/3 cup turbinado sugar,turbinado sugar,turbinado sugar
1/3 cup unsweetened cocoa powder,cocoa powder,unsweetened cocoa powder
1/3 cup unsweetened cranberry juice,cranberry cranberry,unsweetened cranberry juice
1/3 cup vanilla ice cream,vanilla ice cream,vanilla ice cream
1/3 cup Vietnamese fish sauce,tzatziki sauce,fish sauce
1/3 cup vodka,vodka,vodka
1/3 cup water,water,water
1/3 cup water [edited],water,water
"1/3 cup water, boiling",water,seltzer
"1/3 cup water, cold",water,seltzer
"1/3 cup water, heated",water,seltzer
1/3 cup white vinegar,white wine,white vinegar
1/3 cup whole milk,whole milk,whole milk
1/3 cup whole milk (optional),whole milk,whole milk
"1/3 cup whole milk, warmed to about ° F by microwaving for  seconds",whole milk,whole milk
1/3 cup yellow chartreuse,yellow chartreuse,yellow chartreuse
"1/3 cups (  ounces; g) dried field peas (cowpeas), preferably not black-eyed peas, rinsed, picked over for debris, and soaked overnight (see note)",dried simple peas,dried field beans
1/3 cups ( ml) heavy cream,heavy cream,heavy cream
1/3 cups ( ounces; g) uncooked parboiled long-grain white rice,white white,long grain grain rice
1/3 cups (ml) heavy cream,heavy cream,heavy cream
1/3 cups (ml) whole milk,whole milk,whole milk
1/3 cups all-purpose flour,flour juice,all purpose flour
1/3 dash absinthe,absinthe,absinthe
1/3 dash angostura bitters,angostura bitters,angostura bitters
1/3 dash bitters,bitters,bitters
1/3 dash brandy,brandy,brandy
1/3 dash burlesque bitters,walnut bitters,peychauds bitters
1/3 dash cayenne pepper,cayenne pepper,cayenne pepper
1/3 dash celery bitters,00 bitters,celery bitters
1/3 dash chocolate bitters,chocolate bitters,chocolate bitters
1/3 dash citrus bitters,english pea,citrus liqueur
1/3 dash cointreau,cointreau,cointreau
1/3 dash curacao,curacao,curacao
1/3 dash fernet branca,fernet branca,fernet branca
1/3 dash fino sherry,fino sherry,fino sherry
1/3 dash grand marnier,grand marnier,grand marnier
1/3 dash grapefruit bitters,grapefruit bitters,grapefruit bitters
1/3 dash green chartreuse,green chartreuse,green chartreuse
1/3 dash grenadine,grenadine,grenadine
1/3 dash lemon bitters,lemon bitters,lemon bitters
1/3 dash lemon juice,lemon juice,lemon juice
"1/3 dash lemon juice, fresh",lemon juice,lemon juice
1/3 dash maraschino liqueur,maraschino liqueur,maraschino liqueur
1/3 dash mole bitters,walnut bitters,mole bitters
1/3 dash orange,orange,orange
1/3 dash orange bitters,orange bitters,orange bitters
1/3 dash peychauds bitters,peychauds bitters,peychauds bitters
1/3 dash pomegranate,pomegranate,pomegranate
1/3 dash pomegranate bitters,pomegranate bitters,pomegranate bitters
1/3 dash rose water,rose water,rose water
1/3 dash simple syrup,simple syrup,simple syrup
1/3 dash vanilla extract,vanilla extract,vanilla extract
1/3 drop  percent saline,saline,saline
1/3 drop orange bitters,orange bitters,orange bitters
1/3 drop orange blossom water,orange blossom water,orange blossom water
1/3 drop pernod,pernod,pernod
1/3 drop pernod (optional),pernod,pernod
1/3 drop water,water,water
1/3 earl grey tea bag,earl grey tea bag,earl grey tea bag
1/3 egg,poached,egg
1/3 egg white,oyster white,white white
"1/3 egg white, fresh",poached,egg whites
1/3 egg yolk,egg yolk,egg yolk
1/3 floz chilled orange juice,orange juice,chilled orange juice
1/3 floz chilled peach juice,peach juice,chilled peach juice
1/3 floz chilled prosecco,prosecco,prosecco prosecco
1/3 floz chilled prosecco (optional),prosecco,prosecco prosecco
1/3 floz orange juice,orange juice,orange juice
1/3 floz peach schnapps,peach schnapps,mango schnapps
1/3 floz vodka,vodka,vodka
1/3 fluid ounces ( cups) half-and-half,agar,half and half
1/3 fluid ounces heavy cream,heavy cream,heavy cream
1/3 fresh pear,pear,fresh pear
1/3 ft cheesecloth,cheesecloth,cheesecloth
1/3 ginger ale,ginger ale,ginger ale
1/3 grapefruit twist,grapefruit twist,grapefruit twist
1/3 green olive,green olive,green olive
1/3 head cauliflower,cauliflower,cauliflower
1/3 ice cube,ice cube,ice cube
"1/3 ice cube, cracked",ice cube,ice cube
1/3 in cinnamon stick,cinnamon,cinnamon stick
"1/3 in fresh pasta, fresh",fresh pasta,fresh pasta
1/3 in ginger,ginger,ginger
"1/3 in ginger, peeled",ginger,seltzer
"1/3 in medium pineapple, peeled, cored, and cubed",pineapple,medium lemon
1/3 in orange,orange,orange
1/3 in orange zest,orange zest,orange zest
1/3 in pineapple,kielbasa,pineapple
"1/3 jalapeno, sliced",pomegranate,seltzer
"1/3 jalapeno, with seeds",pomegranate,seltzer
"1/3 kiwi, peeled",kiwi,seltzer
1/3 kosher salt,kosher salt,kosher
1/3 large egg,egg,large egg
1/3 large egg white,egg white,large egg white
1/3 large egg yolk,egg yolk,large egg yolk
1/3 large egg yolks,egg yolks,large egg
1/3 large egg yolks (g),egg yolks,large egg
1/3 large egg yolks (optional),egg yolks,large egg
1/3 large eggs,eggs,large eggs
1/3 large ice cube,ice cube,ice cube cube
1/3 large lime,lime,large lime
1/3 large mint,mint,large mint
1/3 large orange twist,orange twist,large twist
"1/3 large peach, thinly sliced",peach,large
"1/3 large sweet potatoes, peeled and cubed",sweet potatoes,large sweet potatoes
"1/3 large yellow onion, thinly sliced",yellow onion,large yellow onion
"1/3 lb bread, fresh",bread,seltzer
"1/3 lb cucumber, peeled",cucumber,seltzer
"1/3 lb ginger, fresh",ginger,seltzer
1/3 lb ice cube,ice cube,ice cube
"1/3 lb lemon, room temperature",lemon,seltzer
"1/3 lb strawberry, trimmed",strawberry,seltzer
1/3 lb tomato,tomato,tomato
1/3 leaf basil,basil,basil
"1/3 leaf basil, fresh",basil,seltzer
1/3 leaf cilantro,cilantro,cilantro
1/3 leaf fresh mint,mint,mint
1/3 leaf fresh mint (optional),mint,mint
1/3 leaf fresh sage,sage,fresh sage
1/3 leaf lime,lime syrup,lime
1/3 leaf mint,mint,mint
"1/3 leaf mint, fresh",mint,seltzer
1/3 leaf pineapple,pineapple,pineapple
1/3 leaf sage,sage,sage
"1/3 leaf sage, fresh",sage,seltzer
"1/3 leaf tarragon, fresh",tarragon,seltzer
"1/3 leek, white and light green parts only, cleaned and sliced into thin rings",carrot,seltzer
1/3 lemon,lemon,lemon
1/3 lemon twist,lemon twist,lemon twist
"1/3 lemon twist, optional",lemon twist,lemon juice
1/3 lemon zest,lemon zest,lemon zest
"1/3 lemon zest, freshly grated",lemon zest,lemon juice
"1/3 lemon, cut into rounds",lemon,seltzer
"1/3 lemon, cut into wheels",lemon,seltzer
"1/3 lemon, halved",lemon,seltzer
"1/3 lemon, thinly sliced",lemon,seltzer
"1/3 lemon, zested",lemon,caperitif
1/3 light beer,light beer,light beer
1/3 lime,maple,lime
"1/3 lime wedge, plus  lime wheels for garnish",lime,lime juice
1/3 lime zest,lime zest,lime zest
"1/3 lime, quartered",grapefruit,seltzer
1/3 maraschino cherry,maraschino cherry,maraschino cherry
"1/3 maraschino cherry, optional",maraschino cherry,maraschino cherry
"1/3 medium (-ounce; g) yellow onion, peeled, quartered, and root end trimmed",yellow onion,yellow onion onion
"1/3 medium beet, grated",beet,medium
"1/3 medium cloves garlic, minced",garlic,garlic
"1/3 medium cucumber, sliced into "" rounds",cucumber,medium
"1/3 medium grapefruit, zested",grapefruit,lemon
"1/3 medium lemon, cut into "" wheels",lemon,medium
"1/3 medium lemon, juiced",lemon,medium
"1/3 medium lemon, juiced (optional)",lemon,medium
"1/3 medium lemon, zested",lemon,lemon
1/3 medium lime,lime,medium lime
"1/3 medium navel orange, cut into wheels",navel orange,medium navel oranges
1/3 medium orange,orange,orange
"1/3 medium pineapple, cut into "" cubes",pineapple,medium
"1/3 minneola orange, finely zested",minneola orange,minneola oranges
1/3 mint,mint,mint
1/3 nectarine,smoked,nectarine
1/3 NO Cartridges,2 cartridges,beers
1/3 nutmeg,mascarpone,nutmeg
"1/3 nutmeg, freshly grated",guavas,lemon
1/3 olive,olive,olive
1/3 olive (optional),fritos,olive
1/3 orange,oyster,orange
1/3 orange (optional),grapefruit,orange
1/3 orange twist,grapefruit twist,orange twist
"1/3 orange twist, optional",orange twist,orange juice
"1/3 orange, quartered",oyster,seltzer
"1/3 orange, sliced",grapefruit,seltzer
"1/3 orange, zested",grapefruit,caperitif
"1/3 ounces ( grams) white chocolate chips, or chopped white chocolate from a bar",white sea chip,white chocolate
"1/3 ounces (g) all-purpose flour, sifted",almond juice,all purpose flour
"1/3 ounces (g) finely grated Gruyère cheese, plus more for sprinkling",tomato,finely grated adzuki beans
1/3 ounces (g) finely grated Gruyère or Comté cheese,cornmeal,gruyere grated <OOV>
1/3 ounces (g) finely grated Parmigiano-Reggiano cheese,cheese,finely grated parmigiano reggiano
1/3 ounces (g) pullman or brioche bread (about one-third to one-half of a loaf),amer,pullman pullman flour
1/3 ounces (ml) Cointreau,cointreau,cointreau
1/3 ounces (ml) fresh juice from  limes,pepitas juice,fresh lime
1/3 ounces (ml) high-quality blanco tequila (see note),blanco petals,blanco tequila
1/3 ounces grated Parmesan,parmesan,grated parmesan
1/3 oz  rum,rum,rum
1/3 oz absinthe,absinthe,absinthe
1/3 oz agave,agave,agave
1/3 oz agave nectar,agave nectar,agave nectar
1/3 oz aged rum,aged rum,aged rum
1/3 oz ale,ale,ale
1/3 oz allspice,allspice,allspice
1/3 oz allspice bitters,allspice bitters,allspice bitters
1/3 oz amaretto,amaretto,amaretto
1/3 oz amaro,amaro,amaro nonino
1/3 oz amaro nonino,amaro nonino,amaro nonino
1/3 oz amaro sfumato,amaro sfumato,amaro sfumato
1/3 oz amber rum,amber rum,amber rum
1/3 oz amer picon,amer picon,amer picon
1/3 oz angostura bitters,angostura bitters,angostura bitters
1/3 oz aperol,aperol,aperol
1/3 oz apple brandy,apple brandy,apple brandy
1/3 oz apple brandy (optional),apple brandy,apple brandy
1/3 oz apple cider,apple cider,apple cider
"1/3 oz apple cider, chilled",apple cider,apple juice
"1/3 oz apple cider, fresh",apple cider,apple juice
1/3 oz apple simple syrup,orange simple syrup,apple simple syrup
1/3 oz applejack,applejack,applejack
1/3 oz apricot,apricot,apricot
1/3 oz apricot brandy,apricot brandy,apricot brandy
1/3 oz apricot liqueur,apricot liqueur,apricot liqueur
1/3 oz aquavit,aquavit,aquavit
1/3 oz averna,averna,cynar
1/3 oz bacon flavored whiskey,bacon,spiced flavored whiskey
1/3 oz barolo chinato,barolo chinato,barolo chinato
1/3 oz basil simple syrup,simple simple syrup,basil simple syrup
1/3 oz becherovka,becherovka,cynar
1/3 oz beet juice,beet juice,beet juice
1/3 oz benedictine,benedictine,benedictine
"1/3 oz black coffee, hot",black coffee,black cardamom
"1/3 oz black peppercorn simple syrup, chilled",black wine simple,black simple simple
1/3 oz blanco tequila,blanco tequila,blanco tequila
1/3 oz blood orange juice,blood orange juice,blood orange juice
"1/3 oz blood orange juice, fresh",blood orange juice,blood orange juice
1/3 oz bonal,bonal,bonal
1/3 oz bornholmer bitter,bornholmer bitter,bornholmer bitter
1/3 oz bourbon,bourbon,bourbon
1/3 oz brandy,brandy,brandy
1/3 oz brewed chamomile tea,brewed chamomile tea,brewed chamomile tea
1/3 oz brut sparkling wine,sparkling wine,sparkling sparkling wine
1/3 oz cachaca,cachaca,cachaca
1/3 oz calvados,dashi,calvados
1/3 oz campari,campari,campari
1/3 oz caperitif,caperitif,cynar
1/3 oz cardamom pod,cardamom,cardamom pod
1/3 oz cardamom simple syrup,balsamic simple syrup,ginger simple simple
1/3 oz cardamom-infused bourbon,gruyere,ripe infused simple
1/3 oz carrot juice,carrot juice,carrot juice
1/3 oz cava,cava,cava
"1/3 oz cava, chilled",cava,seltzer
1/3 oz celery juice,celery juice,celery juice
"1/3 oz celery juice, fresh",celery juice,celery salt
"1/3 oz celery, sliced",celery,seltzer
1/3 oz champagne,champagne,champagne
1/3 oz champagne acid,champagne acid,champagne acid
"1/3 oz champagne, approximately",champagne,seltzer
"1/3 oz champagne, chilled",champagne,seltzer
1/3 oz cherry heering,cherry heering,cherry
1/3 oz cherry juice,cherry juice,cherry juice
1/3 oz cherry simple syrup,cherry simple syrup,pineapple simple syrup
1/3 oz chicory-infused rye whiskey,tapioca flour,flaky infused rye whiskey
1/3 oz chilled champagne,champagne,champagne champagne
1/3 oz chilled ginger beer,ginger beer,ginger beer
1/3 oz chocolate liqueur,chocolate liqueur,chocolate liqueur
1/3 oz cinnamon simple syrup,cinnamon simple syrup,ginger simple ginger
1/3 oz citrus simple syrup,simple simple syrup,citrus simple syrup
1/3 oz citrus vodka,citrus vodka,citrus vodka
1/3 oz clamato,clamato,clamato
1/3 oz club soda,club soda,club soda
"1/3 oz club soda, chilled",club soda,club soda
"1/3 oz club soda, cold",club soda,club soda
1/3 oz cocchi americano,cocchi americano,cocchi americano
"1/3 oz cocchi americano, chilled",cocchi americano,cocchi americano
1/3 oz coconut milk,coconut milk,coconut milk
1/3 oz coconut milk (optional),coconut milk,coconut milk
1/3 oz coconut seltzer,coconut seltzer,coconut seltzer
1/3 oz coconut water,coconut water,coconut water
"1/3 oz coconut water, chilled",coconut water,coconut oil
1/3 oz coffee,coffee,coffee
"1/3 oz coffee, hot",coffee,water
1/3 oz cognac,cognac,cognac
1/3 oz cointreau,cointreau,cointreau
1/3 oz cola simple syrup,cola simple simple,ginger simple syrup
1/3 oz cold water,water,water
"1/3 oz cool, filtered water",maple,water
1/3 oz cranberry juice,cranberry juice,cranberry juice
1/3 oz cranberry simple syrup,ginger simple syrup,cranberry simple syrup
1/3 oz creme de cacao,creme de cacao,creme de cacao
1/3 oz creme de cassis,creme de cassis,creme de cassis
1/3 oz creme de menthe,creme de menthe,creme de menthe
1/3 oz crushed ice,crushed ice,crushed ice
"1/3 oz cucumber juice, fresh",cucumber juice,cucumber juice
1/3 oz curacao,curacao,curacao
1/3 oz cynar,cynar,cynar
1/3 oz dark rum,dark rum,dark rum
1/3 oz demerara simple syrup,simple simple syrup,demerara simple syrup
1/3 oz drambuie,drambuie,drambuie
1/3 oz drinking vinegar,english vinegar,cheap vinegar
1/3 oz dry curacao,dry curacao,dry curacao
1/3 oz dry gin,dry,dry gin
"1/3 oz dry lambrusco, chilled",lambrusco,dry rose
1/3 oz dry orange curacao,orange marmalade,orange orange curacao
1/3 oz dry prosecco,prosecco,prosecco prosecco
1/3 oz dry sherry,dry sherry,dry sherry
1/3 oz dry sparkling wine,sparkling wine,sparkling sparkling wine
"1/3 oz dry sparkling wine, chilled",sparkling wine,sparkling sparkling
1/3 oz dry vermouth,dry vermouth,dry vermouth
"1/3 oz dry vermouth, chilled",dry vermouth,dry rose
1/3 oz dry white wine,white wine,sparkling white wine
1/3 oz dubonnet,dubonnet,dubonnet
1/3 oz dubonnet rouge,dubonnet rouge,dubonnet rouge
1/3 oz elderflower liqueur,elderflower liqueur,elderflower liqueur
1/3 oz evaporated milk,evaporated milk,evaporated milk
1/3 oz falernum,falernum,cynar
1/3 oz fernet branca,fernet branca,fernet branca
1/3 oz fino sherry,fino sherry,fino sherry
1/3 oz frangelico,frangelico,frangelico
1/3 oz fresh egg white,egg white,fresh egg white
1/3 oz fresh pomegranate juice,pomegranate juice,pomegranate pomegranate juice
1/3 oz freshly squeezed grapefruit juice,grapefruit juice,grapefruit grapefruit juice
1/3 oz freshly squeezed lemon juice,lemon juice,lemon juice
1/3 oz freshly squeezed lime juice,lime juice,lime juice
1/3 oz freshly squeezed orange juice,orange juice,orange juice
1/3 oz freshly squeezed orange juice (optional),orange juice,orange juice
1/3 oz galliano,galliano,galliano
1/3 oz genever,genever,genever
1/3 oz gin,gin,gin
"1/3 oz ginger ale, chilled",ginger ale,ginger beer
1/3 oz ginger beer,ginger beer,ginger beer
"1/3 oz ginger beer, room temperature",ginger beer,ginger beer
1/3 oz ginger juice,ginger juice,ginger juice
"1/3 oz ginger juice, fresh",ginger juice,ginger beer
"1/3 oz ginger juice, fresh (optional)",ginger juice,ginger beer
1/3 oz ginger liqueur,ginger liqueur,ginger liqueur
1/3 oz ginger simple syrup,ginger simple syrup,ginger simple syrup
"1/3 oz ginger, peeled",ginger,seltzer
1/3 oz grade B maple syrup,maple syrup,maple syrup
1/3 oz gran classico,gran classico,gran classico
1/3 oz grand marnier,grand marnier,grand marnier
1/3 oz granny smith apple cider,thai brown apple,granny smith apple
1/3 oz granulated sugar,granulated sugar,granulated sugar
1/3 oz grape simple syrup,blue simple syrup,grape grape sprouts
1/3 oz grapefruit juice,grapefruit juice,grapefruit juice
"1/3 oz grapefruit juice, fresh squeezed",grapefruit juice,grapefruit juice
"1/3 oz grapefruit juice, freshly squeezed",grapefruit juice,grapefruit juice
1/3 oz grapefruit liqueur,grapefruit liqueur,grapefruit liqueur
1/3 oz grapefruit radler,grapefruit radler,radler radler
1/3 oz grapefruit seltzer,grapefruit seltzer,seltzer
1/3 oz grapefruit simple syrup,grapefruit simple syrup,grapefruit simple syrup
1/3 oz grapefruit soda,grapefruit soda,grapefruit soda
1/3 oz green chartreuse,green chartreuse,green chartreuse
1/3 oz grenadine,grenadine,grenadine
1/3 oz half and half,half and half,half and half
1/3 oz hard cider,hard cider,hard cider
"1/3 oz hard cider, chilled",hard cider,hard cider
1/3 oz heavy cream,heavy cream,heavy cream
1/3 oz high-proof bourbon,gruyere,bourbon bourbon bourbon
1/3 oz high-proof bourbon (optional),gruyere,bourbon bourbon bourbon
1/3 oz honey,honey,honey
1/3 oz honey liqueur,honey liqueur,honey liqueur
1/3 oz honey simple syrup,honey simple syrup syrup,ginger simple syrup
1/3 oz honey syrup,honey syrup,honey syrup
1/3 oz horseradish simple syrup,horseradish simple syrup,ginger simple syrup
"1/3 oz hot, freshly brewed black coffee",black black,brewed brewed black grey
1/3 oz ice cube,ice cube,ice cube
1/3 oz ice cube (optional),ice cube,ice cube
1/3 oz irish whiskey,fresh whiskey,irish whiskey
1/3 oz jalapeno tequila,reposado tequila,jalapeno pepper
1/3 oz Jameson whiskey,peppercorn vodka,jameson whiskey
"1/3 oz kale juice, fresh",kale juice,kale juice
"1/3 oz key lime juice, freshly squeezed",key lime juice,key lime preserves
"1/3 oz large lime juice, fresh",lime juice,large lime juice
1/3 oz lavender simple syrup,lavender simple,ginger simple syrup
1/3 oz lemon,lemon,lemon
1/3 oz lemon juice,lemon juice,lemon juice
"1/3 oz lemon juice, fresh",lemon juice,lemon juice
"1/3 oz lemon juice, fresh squeezed",lemon juice,lemon juice
"1/3 oz lemon juice, freshly squeezed",lemon juice,lemon juice
1/3 oz lemon simple syrup,lemon simple syrup,lemon simple
"1/3 oz lemon, fresh",lemon,seltzer
"1/3 oz lemon, freshly squeezed",lemon,seltzer
1/3 oz light rum,light rum,light rum
1/3 oz lillet blanc,lillet blanc,lillet blanc
1/3 oz lillet blonde,lillet blonde,lillet blonde
1/3 oz lillet rouge,lillet rouge,lillet rouge
1/3 oz lime juice,lime juice,lime juice
"1/3 oz lime juice, fresh",lime juice,lime juice
"1/3 oz lime juice, fresh squeezed",lime juice,lime juice
"1/3 oz lime juice, freshly squeezed",lime juice,lime juice
"1/3 oz lime, fresh",lime,seltzer
1/3 oz limoncello,limoncello,limoncello
1/3 oz madeira wine,madeira wine,madeira wine
1/3 oz mango schnapps,mango schnapps,mango schnapps
"1/3 oz mango, diced",mango,seltzer
1/3 oz maple syrup,maple syrup,maple syrup
1/3 oz maraschino liqueur,maraschino liqueur,maraschino liqueur
1/3 oz medium grapefruit juice,grapefruit juice,medium grapefruit juice
1/3 oz mezcal,mezcal,mezcal
1/3 oz mild fernet,fernet,fernet
1/3 oz mint simple syrup,simple simple,ginger simple syrup
1/3 oz mint-flavored simple syrup,simple simple syrup,rock simple syrup
1/3 oz molasses,molasses,molasses
1/3 oz molasses simple syrup,simple simple,molasses simple syrup
1/3 oz montenegro amaro,montenegro amaro,montenegro amaro
1/3 oz old tom gin,old tom gin,old tom gin
1/3 oz orange curacao,orange curacao,orange curacao
1/3 oz orange ginger simple syrup,ginger ginger simple syrup,ginger simple simple
"1/3 oz orange juice, fresh",orange juice,orange juice
"1/3 oz orange juice, fresh squeezed",orange juice,orange juice
"1/3 oz orange juice, freshly squeezed",orange juice,orange juice
1/3 oz orange marmalade,orange marmalade,orange marmalade
1/3 oz orgeat,orgeat,cynar
1/3 oz passionfruit simple syrup,simple simple syrup,passionfruit simple
1/3 oz peach liqueur,peach liqueur,peach liqueur
1/3 oz pear brandy,pear brandy,pear brandy
1/3 oz peated scotch,raspberry scotch,peated scotch
1/3 oz pepper vodka,pepper vodka,pepper vodka
1/3 oz pernod,pernod,pernod
1/3 oz pimms,pimms,pimms
1/3 oz pine liqueur,pine liqueur,pine liqueur
1/3 oz pineapple,pineapple,pineapple
1/3 oz pineapple juice,pineapple juice,pineapple juice
"1/3 oz pineapple juice, fresh",pineapple juice,pineapple juice
"1/3 oz pineapple juice, freshly squeezed",pineapple juice,pineapple juice
1/3 oz pineapple simple syrup,honey simple syrup,pineapple simple syrup
1/3 oz pineapple simple syrup (optional),honey simple syrup,pineapple simple syrup
"1/3 oz pineapple, diced",pineapple,seltzer
"1/3 oz pineapple, diced (optional)",pineapple,seltzer
"1/3 oz pink grapefruit juice, fresh",pink grapefruit juice,pink grapefruit juice
"1/3 oz pink grapefruit juice, fresh (optional)",pink grapefruit juice,pink grapefruit juice
